incomingDate,purchasePrice,amount
12/0/2018,426.33,1320
11/10/2018,536.0,4395
25/5/2018,264.32,3999
3/8/2019,819.94,4692
19/3/2019,915.5,3483
23/6/2019,985.08,4078
9/1/2018,871.81,1681
2/10/2018,392.56,4419
27/9/2019,976.58,4138
1/11/2018,504.31,3964
9/6/2019,716.75,4517
17/10/2019,77.14,512
2/4/2019,257.6,352
13/12/2018,269.33,944
1/7/2019,857.76,4356
4/9/2018,252.72,3312
26/5/2019,30.51,2968
22/7/2019,35.24,2528
2/4/2018,674.12,3587
19/9/2018,715.98,4922
22/12/2018,610.76,2245
4/6/2019,724.85,1013
14/5/2018,922.41,4865
25/8/2019,477.95,1153
15/10/2019,523.01,1739
29/7/2018,62.32,4691
24/7/2019,907.2,4092
6/0/2019,468.3,3283
2/8/2018,243.79,1068
2/9/2018,430.64,345
7/0/2019,544.69,4582
16/6/2018,50.5,3136
12/9/2019,86.29,2341
25/6/2018,892.2,1411
13/7/2019,576.15,191
23/6/2018,689.11,1718
22/9/2019,329.08,4328
22/2/2018,451.84,3673
5/6/2019,168.08,2647
7/12/2019,881.35,2898
23/12/2019,164.67,57
7/0/2018,682.09,78
11/0/2018,697.15,320
25/1/2018,372.91,1901
28/11/2018,330.2,467
6/10/2019,19.04,4955
2/2/2018,91.79,2874
26/8/2019,451.0,1941
13/4/2018,397.87,1827
4/12/2019,687.2,2618
24/6/2019,870.85,3511
14/3/2018,866.44,1004
22/1/2019,12.8,2600
15/1/2018,906.23,1231
12/3/2019,827.58,789
18/9/2019,531.65,3530
12/11/2018,404.87,1081
21/11/2018,686.1,1492
7/8/2019,613.11,961
6/11/2019,583.37,4273
11/11/2019,632.81,3167
8/6/2018,277.64,1760
21/8/2018,121.39,3384
28/4/2018,791.47,2404
24/8/2018,206.68,606
1/9/2019,191.2,3250
16/7/2019,626.81,3320
3/8/2018,866.31,1618
9/1/2019,163.04,1933
21/6/2018,368.99,2446
3/9/2019,333.92,3599
21/1/2019,344.08,4944
15/6/2018,620.2,2518
21/3/2018,326.34,146
24/1/2019,861.01,2808
7/9/2018,830.11,249
10/1/2019,574.39,4688
29/8/2018,324.27,2356
12/4/2018,573.8,619
13/0/2018,707.67,1381
18/4/2018,883.37,3931
8/1/2019,129.95,1210
10/8/2018,90.35,4060
28/9/2019,631.11,834
23/1/2018,588.43,4433
5/3/2018,961.56,1601
9/0/2018,495.94,3189
24/3/2018,809.31,4869
20/5/2019,262.76,3637
27/7/2019,315.7,140
8/0/2018,956.18,1644
9/12/2018,886.74,4570
17/9/2019,931.06,2454
12/1/2019,795.6,2566
5/10/2018,559.92,3540
25/5/2019,688.11,1069
8/10/2019,781.98,4607
28/9/2018,936.51,770
4/1/2018,730.91,190
17/5/2019,577.78,4756
