saleID,date,paymentMethod,totalPrice,memberID
whavfbbuah,29/2/2019,Cash,0.0,ehxftvbdvb
slprraqnkc,18/12/2018,Credit,0.0,xwknlxwyjw
lmzpynqpvu,24/11/2018,Cash,0.0,skdooctuos
lhutaztese,28/9/2019,Credit,0.0,yrxekaxkrw
vpzlwxtqic,11/4/2018,Cash,0.0,faahdrylan
xtzbqgqekq,14/4/2018,Cash,0.0,tpindswwoj
pycnrhcari,3/11/2019,Cash,0.0,uaolruovhl
yxbuvssnff,18/5/2019,Credit,0.0,ulznoiobtq
youdtvlcyl,9/8/2018,Cash,0.0,qplyxufobi
dqijlithal,18/5/2018,Cash,0.0,gtzecehocm
tnyctyckvm,2/2/2018,Credit,0.0,qvwdmetxks
jkqevbjydr,6/0/2018,Credit,0.0,gggmlqawjq
avprmekgkv,13/4/2019,Credit,0.0,mxelvjfbps
iagpetndde,1/12/2018,Cash,0.0,vlvucgqone
lvroglwtpu,27/12/2018,Credit,0.0,dlqpyklprk
qnawakvsht,28/12/2018,Cash,0.0,hkjmtycpql
yenavbiggm,23/10/2019,Credit,0.0,mgoqpjfkuh
sfvpekdyqk,15/9/2018,Credit,0.0,pfxwgaegeg
gysvpwkkrl,3/12/2018,Credit,0.0,vlvucgqone
zsaewqbnqy,10/6/2018,Cash,0.0,akuvgtwzik
eksnoksbar,2/5/2019,Credit,0.0,akuvgtwzik
wuxkyfwavl,27/6/2018,Credit,0.0,btpevjxlro
cngupzxnru,21/1/2019,Cash,0.0,abrepnskkc
iodoozlrou,3/1/2018,Cash,0.0,wwtujijzbd
fxvspwgjzs,21/8/2018,Credit,0.0,zskkkeyojp
rgtdemqglc,14/8/2019,Cash,0.0,mxelvjfbps
wdcpalbgmi,16/10/2019,Credit,0.0,ztofxrvznt
erkguawckb,29/12/2019,Credit,0.0,lpqjewruue
unilvdopqz,9/7/2018,Cash,0.0,wwtujijzbd
bwnpfzpvhm,13/1/2018,Credit,0.0,pfxwgaegeg
tgqtxrqowy,1/11/2018,Cash,0.0,ypqkbbfqhw
jaqzqbyzry,4/10/2019,Credit,0.0,zlrvkbqvre
eygvnzzfvk,17/5/2019,Cash,0.0,nerwytoqgl
lpatlxetoa,18/8/2019,Credit,0.0,tklhpykfmg
tglkhaxotw,7/12/2019,Cash,0.0,uvzcuplgvs
vodoodjjtt,4/11/2018,Credit,0.0,iiwkohsaiv
yvhbykllpv,17/8/2018,Credit,0.0,vsppboqskc
wxszzdqloo,26/6/2018,Cash,0.0,eocxsrgdyn
cmbngozbda,17/8/2018,Cash,0.0,pnzsbrxbfv
qaaeccvqza,17/11/2019,Credit,0.0,tpindswwoj
jfuzfrixkp,15/6/2018,Cash,0.0,falsuaddhs
nswhskvwbx,18/12/2019,Cash,0.0,uvyjjmzlwc
sinzntfjdx,5/5/2019,Credit,0.0,btpevjxlro
rpdcikpdpr,12/12/2019,Cash,0.0,bnbjvosmsv
gjzagmukmf,3/0/2019,Cash,0.0,faahdrylan
fbxjcksldd,6/6/2019,Credit,0.0,rlclvgwctx
onzvrrrywj,3/3/2019,Credit,0.0,ztofxrvznt
