saleID,subSaleID,productID,price,amount
mbralhyvyd,erwffetbbw,qfuoenihhu,492.2,1
mbralhyvyd,pznqeaejlp,xkfpajqnng,1504.44,2
mbralhyvyd,fzgbuxikjn,yzbmgaloql,1156.54,2
gssvuujogt,pgcsqaswcm,nioxlhovwf,437.13,3
gssvuujogt,siaicmfswg,kyaqecyopm,2027.58,3
gssvuujogt,wvmxfskhou,oddrmgnvlx,1919.78,2
gssvuujogt,fhvttqezyx,jajhiwtmdk,514.68,3
gssvuujogt,ptxxqwjwlm,zktsbgyksd,663.44995,3
gssvuujogt,dysrsogpme,heqraxntlq,795.98,1
uuurnvhldf,hmvojpxvub,wobeptuhiq,218.94,1
uuurnvhldf,hcurgcbevi,ntfbblffou,612.82,1
uuurnvhldf,zneqtzqkae,qaabvqrndq,1816.62,2
uuurnvhldf,lwltbrbckg,nmflwxkdur,200.9,2
uuurnvhldf,iuoovxrkof,dkmlbwfbdj,483.35,1
uuurnvhldf,gojaldjfkz,hywirrmcmh,666.02997,3
uuurnvhldf,xddlhogofe,cxalpmswvg,1755.54,3
uuurnvhldf,ootnzpucrx,gzjhowfdpq,265.71,1
uuurnvhldf,fhpagevjsr,sgcbpggrvu,2627.8801,3
wxqwuyweoh,iypjwzpndv,jajhiwtmdk,171.56,1
wxqwuyweoh,vwsfojrurl,lybrrvxudi,1214.1901,3
wxqwuyweoh,lkifqfoyao,hrqdleybae,470.16,3
wxqwuyweoh,wkxhykxlox,oddrmgnvlx,2879.67,3
wxqwuyweoh,umgwlrxdbn,dyyfiidzki,83.79,1
wxqwuyweoh,uljvokyzqm,ntfbblffou,612.82,1
wxqwuyweoh,bcbqcqzewl,lldpseauge,860.37,1
kjktbsyvsu,ybwdyanmlj,isncesjins,1476.68,2
kjktbsyvsu,mshwtnwsmw,pxdmsakclb,1255.42,2
kjktbsyvsu,lsgfawiurp,crhajaghhn,2386.74,3
kjktbsyvsu,grcmsvpxnu,uvjsdjofkd,1575.38,2
kjktbsyvsu,bmxfysjlpm,jnbctzlmwq,769.4,2
gipekvbmpw,wvvzqhddrn,qosncjbhqn,751.72,1
gipekvbmpw,ddjiubocod,heqraxntlq,795.98,1
gipekvbmpw,jlmkjacwmz,gzjhowfdpq,265.71,1
gipekvbmpw,cebohnjqpr,savtibjtpf,156.96,1
gipekvbmpw,wuubfzjnhy,lldpseauge,1720.74,2
gipekvbmpw,htblzywdvp,yzbmgaloql,1734.81,3
gipekvbmpw,txvqwupwne,vzwqufdfxg,244.12,1
gmpuxmhzhf,qtgkpgxyrg,tzyqmksrig,754.53,1
gmpuxmhzhf,kxnydjzykz,aaheqyzfzp,2888.1301,3
gmpuxmhzhf,xwfsfkosbv,kbttnyqthi,1864.5,3
gmpuxmhzhf,yqemnbapgi,baczvbsszj,960.14996,3
gmpuxmhzhf,dxrdwllptp,crzzozxmcz,95.64,3
gmpuxmhzhf,raxkoyufmo,jajhiwtmdk,343.12,2
uqgzftgpqq,ixqaigqdqn,crzzozxmcz,95.64,3
htfslgiajn,ctzypifezz,kbttnyqthi,621.5,1
htfslgiajn,ondyfbcazi,uaezatqmst,2797.8599,3
htfslgiajn,llgnraalhj,baczvbsszj,320.05,1
htfslgiajn,pumanauxlk,jjbxjkzraa,1309.88,2
keratjgiqb,dlrujfryki,tjtmgiqrby,1671.82,2
keratjgiqb,oatvvcqxyt,qfuoenihhu,984.4,2
eixdqybivv,fncsuiuhxb,fnuctwuwxt,1423.68,2
eixdqybivv,dirwyzuxsu,gpytwaqhpx,16.96,1
eixdqybivv,wfbvkccjoq,ywpcbaizcd,1663.53,3
eixdqybivv,gdhgqpvhyl,qosncjbhqn,1503.44,2
qyietqjksa,qavuehhxbl,dkmlbwfbdj,483.35,1
qyietqjksa,akhblcecxv,kwnqpaldst,2829.99,3
defhbcvjsn,fbhphmehsm,gxxcqmodrn,422.23,1
defhbcvjsn,xjctkfopyh,cxalpmswvg,1170.36,2
defhbcvjsn,qvumtyhogw,hhlhvrmrtk,1803.99,3
defhbcvjsn,iaanfohtaa,tlapdvabfb,989.18,1
tvtiolwmqa,stjlsutvuk,ouyomtrqsf,1637.76,3
jibcxiubws,fmislxzkdc,ouyomtrqsf,1091.84,2
jibcxiubws,kkdvaixuzv,qpfwkzalba,770.83,1
jibcxiubws,rpiynwzsho,oqwjtvmtdb,12.96,1
jibcxiubws,wlvonyeafb,vzwqufdfxg,488.24,2
jibcxiubws,aopupfyolu,yugunlpxfn,474.09,3
jibcxiubws,uecdmxhbjy,pvtttuzuqm,478.61,1
jibcxiubws,fkmbtooysa,tjtmgiqrby,2507.73,3
jibcxiubws,kitbtjwgvl,hrqdleybae,470.16,3
tefhxmxbcx,adshxlhbgp,oqwjtvmtdb,12.96,1
tefhxmxbcx,qwmwqpnfyg,lybrrvxudi,1214.1901,3
tefhxmxbcx,syxkvxtbtw,kaompoteyv,884.65,1
tefhxmxbcx,tuojhuglin,ccwjfknkir,2539.83,3
oilizwetuo,ycdxhlfoca,xkfpajqnng,752.22,1
lgssciwqwf,ihuxcowfhs,aaheqyzfzp,2888.1301,3
lgssciwqwf,hodzuqmnmj,dalmmfpvow,963.47,1
lgssciwqwf,lhrznvazka,kyaqecyopm,2027.58,3
ccnapnpxls,mynwgieurl,woaggfiste,1015.22,2
ccnapnpxls,gvjskwvnha,aeiiirbira,176.05,1
ccnapnpxls,sghajzeclv,gbfexcqeaa,1701.78,3
ccnapnpxls,dqfproszix,egvmaufqta,268.68,1
xnkirhlhzz,xldkeidrxn,fnpxibnzdf,1754.4,2
xnkirhlhzz,zklxfxdvzc,fnpxibnzdf,877.2,1
rxmmcopygr,qwghftheda,cxalpmswvg,1170.36,2
rxmmcopygr,eudwsrcncq,tzyqmksrig,1509.06,2
rxmmcopygr,bifszuabjr,hhlhvrmrtk,1202.66,2
rxmmcopygr,zftfkiudlk,woaggfiste,1522.83,3
qyfgtjfxll,imncuwhgib,tzyqmksrig,1509.06,2
qyfgtjfxll,adrsrcfcpr,licnolpgjg,499.63,1
qyfgtjfxll,fremmqrplh,baczvbsszj,960.14996,3
qyfgtjfxll,jyvgredcat,lybrrvxudi,1214.1901,3
